contrast,estimate,SE,df,t.ratio,p.value,method,endpoint
Strong_minus_Free,-1.7515999999999987,0.09984492493405826,38,-17.543205136934382,1.6339657118971088e-19,post-tracking plant fixed-effect model fallback,Assimilation_umol_CO2_m2_s
Sham_minus_Free,-0.3051499999999988,0.09984492493405825,38,-3.0562394653662426,0.004087404448039075,post-tracking plant fixed-effect model fallback,Assimilation_umol_CO2_m2_s
Strong_minus_Free,-0.03672999999999992,0.002092461085388157,39.99999609533258,-17.55349251486147,4.274562268556748e-20,post-tracking LMM,gs_mol_H2O_m2_s
Sham_minus_Free,-0.0035699999999998953,0.0020924610853881565,39.99999608135339,-1.70612491908668,0.0957390921379455,post-tracking LMM,gs_mol_H2O_m2_s
Strong_minus_Free,-0.3480499999999983,0.027044357238027644,39.99999856860863,-12.869597784731146,1.6724490110237338e-15,post-tracking LMM,Transpiration_mmol_H2O_m2_s
Sham_minus_Free,-0.07259999999999861,0.027044357238027648,39.99999857009531,-2.6844786644777123,0.010518737612866999,post-tracking LMM,Transpiration_mmol_H2O_m2_s
Strong_minus_Free,9.715000000000025,1.196629403710505,38,8.118637207038187,1.593055115423577e-9,post-tracking plant fixed-effect model fallback,Ci_umol_mol
Sham_minus_Free,2.5400000000000196,1.1966294037105047,38,2.122628770548338,0.04035925894128301,post-tracking plant fixed-effect model fallback,Ci_umol_mol
