contrast,Condition,estimate,SE,df,t.ratio,p.value
Rotation0 - Rotation180,LL,-0.13666666666667027,0.1813448360643485,210.0000001257704,-0.7536286647730922,0.45191635082189785
Rotation0 - Rotation180,HL,-0.22466666666666507,0.18134483606434845,210.00000013076874,-1.23889200013914,0.216768434166929
Rotation0 - Rotation180,LH,-0.08533333333332965,0.18134483606434845,210.00000013076874,-0.470558385809508,0.6384444977461674
Rotation0 - Rotation180,HH,-0.016333333333333533,0.1813448360643485,210.00000014102096,-0.0900678160338561,0.9283191695633841
