endpoint,estimate,SE,df,statistic,p,low,high,method,p_Holm
Integrated_Terminal_PPFD,-35963.30000000005,1079.1011325499321,NA,-33.32708947771951,2.5421998725251374e-18,-38221.8846275663,-33704.71537243379,Plant FE + clustered SE,1.5253199235150823e-17
PhiPSII,-0.06320500000000005,0.002691104669910424,NA,-23.486637553233443,1.6840017586345485e-15,-0.0688375468070531,-0.057572453192947,Plant FE + clustered SE,5.0520052759036456e-15
ETR_umol_e_m2_s,-8.744000000000012,0.2963844705546586,NA,-29.50222048961051,2.471239883368487e-17,-9.364339826223985,-8.12366017377604,Plant FE + clustered SE,1.2356199416842436e-16
Leaf_Temperature_C,0.15850000000003497,0.0024949949994086287,39.999999694376065,63.527181432268655,8.657354419770156e-42,0.15345742700659282,0.16354257299347713,LMM random intercept Plant_ID,6.925883535816125e-41
Assimilation_umol_CO2_m2_s,-1.7516000000000016,0.1180371686613823,NA,-14.839393555981362,6.650457706453543e-12,-1.9986546333225255,-1.5045453666774777,Plant FE + clustered SE,1.3300915412907086e-11
gs_mol_H2O_m2_s,-0.03672999999999992,0.002092461085388157,39.99999609533258,-17.55349251486147,2.137281134278374e-20,-0.04095902161771107,-0.03250097838228878,LMM random intercept Plant_ID,1.496096793994862e-19
Transpiration_mmol_H2O_m2_s,-0.3480499999999983,0.027044357238027644,39.99999856860863,-12.869597784731146,8.362245055118669e-16,-0.4027086849213558,-0.2933913150786408,LMM random intercept Plant_ID,3.3448980220474675e-15
Intercellular_CO2_umol_mol,9.715000000000021,1.226953085288734,NA,7.91798815821375,1.95246301851402e-7,7.146957678860211,12.283042321139831,Plant FE + clustered SE,1.95246301851402e-7
